Total word count: 183
-------------------------------
Word: work       Count: 79
Word: you        Count: 28
Word: dirt       Count: 24
Word: i          Count: 23
Word: learn      Count: 21
Word: me         Count: 19
Word: hurt       Count: 12
Word: to         Count: 12
Word: he         Count: 9
Word: if         Count: 8
Word: nuh        Count: 8
Word: that       Count: 8
Word: done       Count: 8
Word: mmmmm      Count: 7
Word: see        Count: 7
Word: the        Count: 7
Word: my         Count: 7
Word: in         Count: 6
Word: turn       Count: 6
Word: ner        Count: 6
Word: need       Count: 6
Word: rollin     Count: 6
Word: when       Count: 5
Word: him        Count: 5
Word: never      Count: 5
Word: and        Count: 5
Word: just       Count: 5
Word: put        Count: 4
Word: ah         Count: 4
Word: it         Count: 4
Word: something  Count: 4
Word: get        Count: 4
Word: so         Count: 4
Word: a          Count: 4
Word: do         Count: 4
Word: mi         Count: 4
Word: all        Count: 4
Word: said       Count: 4
Word: haffi      Count: 4
Word: cyar       Count: 3
Word: hope       Count: 3
Word: give       Count: 3
Word: guh        Count: 3
Word: like       Count: 3
Word: dont       Count: 3
Word: for        Count: 3
Word: meh        Count: 3
Word: hurting    Count: 3
Word: time       Count: 3
Word: your       Count: 2
Word: im         Count: 2
Word: come       Count: 2
Word: have       Count: 2
Word: face       Count: 2
Word: but        Count: 2
Word: through    Count: 2
Word: had        Count: 2
Word: act        Count: 2
Word: leave      Count: 2
Word: took       Count: 2
Word: this       Count: 2
Word: please     Count: 2
Word: heart      Count: 2
Word: know       Count: 2
Word: no         Count: 2
Word: away       Count: 2
Word: we         Count: 2
Word: youve      Count: 2
Word: sorry      Count: 2
Word: over       Count: 2
Word: been       Count: 1
Word: streets    Count: 1
Word: ago        Count: 1
Word: yeah       Count: 1
Word: soon       Count: 1
Word: tables     Count: 1
Word: would      Count: 1
Word: pick       Count: 1
Word: stuck      Count: 1
Word: text       Count: 1
Word: decoration Count: 1
Word: neglect    Count: 1
Word: okay       Count: 1
Word: still      Count: 1
Word: past       Count: 1
Word: gotta      Count: 1
Word: am         Count: 1
Word: recognize  Count: 1
Word: wanna      Count: 1
Word: at         Count: 1
Word: wanted     Count: 1
Word: nothings   Count: 1
Word: slow       Count: 1
Word: tryna      Count: 1
Word: dealt      Count: 1
Word: shots      Count: 1
Word: love       Count: 1
Word: brought    Count: 1
Word: against    Count: 1
Word: don’t      Count: 1
Word: another    Count: 1
Word: foundation Count: 1
Word: seen       Count: 1
Word: long       Count: 1
Word: spilled    Count: 1
Word: youre      Count: 1
Word: into       Count: 1
Word: how        Count: 1
Word: se         Count: 1
Word: too        Count: 1
Word: patience   Count: 1
Word: believed   Count: 1
Word: place      Count: 1
Word: lurking    Count: 1
Word: righteous  Count: 1
Word: more       Count: 1
Word: could      Count: 1
Word: forward    Count: 1
Word: one        Count: 1
Word: many       Count: 1
Word: wrong      Count: 1
Word: sleeve     Count: 1
Word: desert     Count: 1
Word: tonight    Count: 1
Word: before     Count: 1
Word: beg        Count: 1
Word: friendly   Count: 1
Word: body       Count: 1
Word: got        Count: 1
Word: hold       Count: 1
Word: wake       Count: 1
Word: uh         Count: 1
Word: i’m        Count: 1
Word: from       Count: 1
Word: up         Count: 1
Word: potential  Count: 1
Word: adoration  Count: 1
Word: emotions   Count: 1
Word: crisis     Count: 1
Word: touch      Count: 1
Word: its        Count: 1
Word: dry        Count: 1
Word: less       Count: 1
Word: true       Count: 1
Word: tryin      Count: 1
Word: who        Count: 1
Word: here       Count: 1
Word: some       Count: 1
Word: fi         Count: 1
Word: distance   Count: 1
Word: keys       Count: 1
Word: dreams     Count: 1
Word: choose     Count: 1
Word: mistaken   Count: 1
Word: yuh        Count: 1
Word: badda      Count: 1
Word: can        Count: 1
Word: nicest     Count: 1
Word: ready      Count: 1
Word: of         Count: 1
Word: now        Count: 1
Word: oh         Count: 1
Word: end        Count: 1
Word: twin       Count: 1
Word: on         Count: 1
Word: niggas     Count: 1
Word: chance     Count: 1
Word: motion     Count: 1
Word: will       Count: 1
Word: spent      Count: 1
Word: go         Count: 1
Word: was        Count: 1
Word: say        Count: 1
Word: babe       Count: 1
Word: gets       Count: 1
Word: rush       Count: 1
Word: way        Count: 1
Word: with       Count: 1
Word: what       Count: 1
Word: mean       Count: 1
Word: baby       Count: 1
Word: huh        Count: 1
Word: until      Count: 1
